level_2_key,title,left_bar_title,nav_order,dir_path,one_liner,scope_in,scope_out,newcomer_question_it_answers,source_file,source_section,primary_sources,level_3_pages,status
about_us,About Us for Republican Voters,About Us,1,site/docs/r/about_us/,"Who this door is for: voters who vote Republican and the broader political right, building their own package in their own language.",Who the audience is; that this is not a general-audience site; the promise that your side builds its own package here; why a neutral visitor goes to the .io instead.,"The mechanics of any plank below; anything addressed to the D, L or S audiences.",Is this site for me?,marketing/messaging/republicans.md,1.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; republican_voters_not_the_swamp.mdx; why_here_not_the_io.mdx,planned
tpusa_replacement,A Replacement for TPUSA,Replacing TPUSA,2,site/docs/r/tpusa_replacement/,We say plainly that we are working to be a replacement for TPUSA — a claim that exists only on this door.,"The slot we fill; same organizing job, different method (meritocracy and community voting rather than a small group announcing downward); who does not fund us and who does not control us.","The same claim on any other door or on the .io — it appears nowhere else, by rule.",What are you a replacement for?,marketing/messaging/republicans.md,2.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; what_we_do_differently.mdx; who_does_not_control_us.mdx,planned
replace_incumbents,Replacing Incumbents Controlled by Global Elites,Replace Incumbents,3,site/docs/r/replace_incumbents/,The core action: get political challengers elected to replace incumbents controlled by global elites and the Deep State.,"Elections as the mechanism; challengers first and incumbent protection never; the non-citizen powerful forces we name as the threat, domestic and foreign.","Naming individual people we cannot substantiate — we name the category, not the person.","Who exactly are you trying to replace, and how?",marketing/messaging/republicans.md,3.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; challengers_first.mdx; non_citizen_powerful_forces.mdx,planned
meritocracy,Meritocracy: Finding the Best Candidates,Meritocracy,4,site/docs/r/meritocracy/,The engine underneath everything: surface the candidates most dedicated to citizens and strongest at refusing to be co-opted.,Dedication measured after election rather than promised before it; the strength to refuse capture once in office; matching candidates to where a voter sits on the political spectrum.,"The trust-score arithmetic itself, which is its own area.",How do you decide who is 'best' without just picking favorites?,marketing/messaging/republicans.md,4.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; dedicated_to_citizens.mdx; strong_enough_to_refuse.mdx; matching_the_spectrum.mdx,planned
christian_ethics,"Great Ethics, Like Christian Ethics",Ethics,5,site/docs/r/christian_ethics/,"This door talks about great ethics and names Christian ethics — deliberately, and exclusively here.","Why the language belongs on this door; why the .io and the D, L and S doors carry no religion at all; the rule that two audiences never share a page.",Any religion on any other door or on the non-partisan site.,Where do your ethics come from?,marketing/messaging/republicans.md,5.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; only_on_this_door.mdx,planned
rigged_economy,Removing the Rigged Economy,Rigged Economy,6,site/docs/r/rigged_economy/,"The Republican voter's own package for removing the rigged layer and getting back to an ethical, clean economy.","A goal shared by all four doors but written here by Republican voters in their own language; the package built by community voting; the destination — an economy that is ethical, clean and ideal for workers.",The other three doors' versions of the same package.,What is your economic plan?,marketing/messaging/republicans.md,6.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; the_republican_package.mdx; ideal_for_workers.mdx,planned
community_voting,Community-Based Voting and Collaboration,Community Voting,7,site/docs/r/community_voting/,"The mechanism the whole platform runs on: positions, plans and candidate judgments come from citizens voting and working together.",The community builds the package rather than receiving it; voting on where you sit on the political spectrum; how that keeps a loud minority from being mistaken for the whole.,"The platform-wide reasoning engine, which lives in the main app.",Who decides what this community stands for?,marketing/messaging/republicans.md,7.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; the_community_builds_it.mdx; vote_your_spectrum.mdx,planned
fix_bills,Fix Bills and Laws,Fix Bills,8,site/docs/r/fix_bills/,"Partisan law work happens on the .com doors, and this is where Republican voters add and prioritize the laws they care about.",Adding the laws this community cares about; the specific standing bills it cares about most; measuring a candidate against a concrete bill rather than a general statement.,Law work on the .io — the non-partisan site does not host it.,Do you have actual legislation?,marketing/messaging/republicans.md,8.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; add_the_laws_you_care_about.mdx; bills_that_matter_most.mdx,planned
expose_deep_state,"Fully Exposing the Deep State, Global Elites and the Epstein Class",Expose Deep State,9,site/docs/r/expose_deep_state/,"Citizens cannot fix what they are not allowed to see, so exposure comes before reform.","The unelected layer as a first-class target; a sourced, citizen-readable record; gaps marked as gaps rather than filled in with a guess.","Accusations we cannot substantiate, and naming a person where we can only prove a category.",What is actually being hidden from me?,marketing/messaging/republicans.md,9.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; documented_with_sources.mdx,planned
us_intelligence,US Intelligence Answers to US Citizens,US Intelligence,10,site/docs/r/us_intelligence/,"US intelligence services answer to US citizens, or they are not ours.",Preventing an agency from deciding an election outcome; ending leverage over officeholders as a mechanism of capture; oversight a citizen can verify.,"Foreign services, which are the next area.",Can an agency decide my election?,marketing/messaging/republicans.md,10.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; no_agency_decides_an_election.mdx; no_puppet_master_over_politics.mdx,planned
foreign_intelligence,Foreign Intelligence: No Puppet Master Over US Citizens,Foreign Intelligence,11,site/docs/r/foreign_intelligence/,A foreign service steering US politics is the purest form of the thing this door exists to stop.,"Narrative control over who gets elected; documenting the mechanism — funding, placed media, coordinated accounts, captured staff; foreign leverage on an officeholder as disqualifying.","Domestic services, which are the previous area.",Is somebody outside the country picking my representatives?,marketing/messaging/republicans.md,11.0,~/BGit/all/politics/citizens_we/marketing/messaging/republicans.md; ~/BGit/act3/we_citizens/pm/r_vs_d.mdx,overview.mdx; a_vote_already_decided.mdx; foreign_leverage_is_disqualifying.mdx,planned
