page_key,title,level,edition,level_2_area,file_path,url_path,description,link_phrases
dietrich_bonhoeffer,Modern Dietrich Bonhoeffers,1,main,,Dietrich_Bonhoeffer.mdx,/docs/dietrich-bonhoeffers/,"Roster of modern Dietrich Bonhoeffers — ethics-first journalists, researchers, and dissidents willing to publicly stand against a captured political system.",modern dietrich bonhoeffers
dietrich_bonhoeffer_criteria,Bonhoeffer Criteria (15 Standards),1,main,,Dietrich_Bonhoeffer_Criteria.mdx,/docs/bonhoeffer-criteria/,The 15-point standard for modern Dietrich Bonhoeffers — ethics-first leaders who speak publicly under pressure and refuse to be silenced by a captured system.,bonhoeffer criteria (15 standards)
politican_challengers,Politician Challengers Roster,1,main,,Politican_Challengers.mdx,/docs/politician-challengers/,"Politicians, candidates, and former officials who meet the Bonhoeffer Criteria — willing to publicly name what is wrong with a captured Washington.",politician challengers roster
about,About We The Citizens,1,main,,about.md,/docs/about/,"About We The Citizens — a lightweight, ethics-first political movement carrying forward Charlie Kirk's values in a structure built so it cannot be captured.",about we the citizens
board,We The Citizens Founding Board,1,main,,board.md,/docs/board/,"The proposed founding board of We The Citizens — 16 thought leaders, journalists, and elected officials Charlie Kirk trusted. Term-limited and charter-bound.",we the citizens founding board
intro,We The Citizens Charter,1,main,,intro.md,/docs/intro/,"The We The Citizens charter — a citizen-first, ethics-first political movement built on the seven principles Charlie Kirk wanted TPUSA to embody.",we the citizens charter
bonhoeffers_alicia_lapp,Alicia Lapp — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Alicia_Lapp.mdx,/docs/bonhoeffers/alicia-lapp/,"Alicia Lapp — candidate for California Governor. Bonhoeffer Criteria scores and notes on her public stance, persistence, and willingness to name captured power.",alicia lapp — bonhoeffer profile
bonhoeffers_candace_owens,Candace Owens — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Candace_Owens.mdx,/docs/bonhoeffers/candace-owens/,"Candace Owens — independent media commentator, formerly at TPUSA, PragerU, and The Daily Wire. Bonhoeffer Criteria scores and notes.",candace owens — bonhoeffer profile
bonhoeffers_dan_bilzerian,Dan Bilzerian — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Dan_Bilzerian.mdx,/docs/bonhoeffers/dan-bilzerian/,Dan Bilzerian — congressional candidate and founder of Ignite International Brands; high-profile social media personality. Bonhoeffer Criteria scores and notes.,dan bilzerian — bonhoeffer profile
bonhoeffers_darryl_cooper,Darryl Cooper — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Darryl_Cooper.mdx,/docs/bonhoeffers/darryl-cooper/,"Darryl Cooper — independent historian and podcaster, host of the MartyrMade podcast. Known for long-form historical analysis. Bonhoeffer Criteria scores and notes.",darryl cooper — bonhoeffer profile
bonhoeffers_elijah_schaffer,Elijah Schaffer — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Elijah_Schaffer.mdx,/docs/bonhoeffers/elijah-schaffer/,"Elijah Schaffer — independent commentator and host, formerly with The Blaze. America First-aligned with ~850K followers on X. Bonhoeffer Criteria scores and notes.",elijah schaffer — bonhoeffer profile
bonhoeffers_ginny_robinson,Ginny Robinson — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Ginny_Robinson.mdx,/docs/bonhoeffers/ginny-robinson/,"Ginny Robinson — political commentator. Bonhoeffer Criteria scores and notes on her public stance, persistence, and willingness to name captured power.",ginny robinson — bonhoeffer profile
bonhoeffers_glenn_greenwald,Glenn Greenwald — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Glenn_Greenwald.mdx,/docs/bonhoeffers/glenn-greenwald/,"Glenn Greenwald — Pulitzer Prize-winning journalist, co-founder of The Intercept, lead reporter on the Snowden disclosures. Bonhoeffer Criteria scores and notes.",glenn greenwald — bonhoeffer profile
bonhoeffers_irlandarra,Irlandarra — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Irlandarra.mdx,/docs/bonhoeffers/irlandarra/,Irlandarra — independent commentator covering the Charlie Kirk assassination and US foreign policy debates. Bonhoeffer Criteria scores and notes.,irlandarra — bonhoeffer profile
bonhoeffers_jackson_hinkle,Jackson Hinkle — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Jackson_Hinkle.mdx,/docs/bonhoeffers/jackson-hinkle/,Jackson Hinkle — independent geopolitical commentator with ~3.9M followers on X. Sustained public commentary on US foreign policy. Bonhoeffer Criteria scores and notes.,jackson hinkle — bonhoeffer profile
bonhoeffers_jake_shields,Jake Shields — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Jake_Shields.mdx,/docs/bonhoeffers/jake-shields/,Jake Shields — former MMA welterweight champion (Strikeforce) and independent political commentator with ~920K followers on X. Bonhoeffer Criteria scores and notes.,jake shields — bonhoeffer profile
bonhoeffers_joe_kent,Joe Kent — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Joe_Kent.mdx,/docs/bonhoeffers/joe-kent/,Joe Kent — former US Army Green Beret and CIA paramilitary officer; congressional candidate for Washington's 3rd district. Bonhoeffer Criteria scores and notes.,joe kent — bonhoeffer profile
bonhoeffers_lucas_gage,Lucas Gage — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Lucas_Gage.mdx,/docs/bonhoeffers/lucas-gage/,Lucas Gage — independent commentator with ~330K followers on X. Bonhoeffer Criteria scores and notes on his public stance and persistence under pressure.,lucas gage — bonhoeffer profile
bonhoeffers_michael_tracey,Michael Tracey — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Michael_Tracey.mdx,/docs/bonhoeffers/michael-tracey/,Michael Tracey — independent journalist with ~350K followers on X. On-the-ground reporting and foreign-policy critiques. Bonhoeffer Criteria scores and notes.,michael tracey — bonhoeffer profile
bonhoeffers_mike_adams,Mike Adams — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Mike_Adams.mdx,/docs/bonhoeffers/mike-adams/,Mike Adams (Health Ranger) — founder of Natural News and Brighteon; daily podcaster and independent media commentator. Bonhoeffer Criteria scores and notes.,mike adams — bonhoeffer profile
bonhoeffers_nathan_mccormack,Nathan McCormack — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Nathan_McCormack.mdx,/docs/bonhoeffers/nathan-mccormack/,"Colonel Nathan McCormack — US Army officer and former Levant/Egypt branch chief at the Joint Staff J5, removed after social-media posts criticizing Israel and US foreign policy. Bonhoeffer Criteria scores and notes.",nathan mccormack — bonhoeffer profile
bonhoeffers_phantom_pain,Phantom Pain — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Phantom_Pain.mdx,/docs/bonhoeffers/phantom-pain/,"Phantom Pain — independent investigator and commentator. Analytical, video-supported threads on political topics. Bonhoeffer Criteria scores and notes.",phantom pain — bonhoeffer profile
bonhoeffers_robby_starbuck,Robby Starbuck — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Robby_Starbuck.mdx,/docs/bonhoeffers/robby-starbuck/,"Robby Starbuck — Cuban-American filmmaker, anti-DEI activist, and former Tennessee 5th district congressional candidate. Bonhoeffer Criteria scores and notes.",robby starbuck — bonhoeffer profile
bonhoeffers_ryan_dawson,Ryan Dawson — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Ryan_Dawson.mdx,/docs/bonhoeffers/ryan-dawson/,"Ryan Dawson — independent geopolitical analyst and documentary filmmaker (~325K on X). Long-form, source-cited analysis. Bonhoeffer Criteria scores and notes.",ryan dawson — bonhoeffer profile
bonhoeffers_ryan_matta,Ryan Matta — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Ryan_Matta.mdx,/docs/bonhoeffers/ryan-matta/,Ryan Matta — independent commentator with ~440K followers on X. America First-style original videos and documentaries. Bonhoeffer Criteria scores and notes.,ryan matta — bonhoeffer profile
bonhoeffers_sam_parker,Sam Parker — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Sam_Parker.mdx,/docs/bonhoeffers/sam-parker/,Sam Parker — political commentator and candidate. Bonhoeffer Criteria scores and notes on his public stance and persistence.,sam parker — bonhoeffer profile
bonhoeffers_stew_peters,Stew Peters — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Stew_Peters.mdx,/docs/bonhoeffers/stew-peters/,Stew Peters — independent broadcaster and host of The Stew Peters Show (~923K on X). Daily broadcast and documentary content. Bonhoeffer Criteria scores and notes.,stew peters — bonhoeffer profile
bonhoeffers_sword_truth,Sword Truth — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Sword_Truth.mdx,/docs/bonhoeffers/sword-truth/,Sword Truth — independent investigative-style commentator and podcaster. America First-style content. Bonhoeffer Criteria scores and notes.,sword truth — bonhoeffer profile
bonhoeffers_tucker_carlson,Tucker Carlson — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Tucker_Carlson.mdx,/docs/bonhoeffers/tucker-carlson/,Tucker Carlson — independent journalist and founder of Tucker Carlson Network. Former Fox News primetime host. Bonhoeffer Criteria scores and notes.,tucker carlson — bonhoeffer profile
bonhoeffers_zach_lahn,Zach Lahn — Bonhoeffer Profile,3,main,Bonhoeffers,Bonhoeffers/Zach_Lahn.mdx,/docs/bonhoeffers/zach-lahn/,Zach Lahn — 2026 Republican nominee for Iowa Governor. Bonhoeffer Criteria scores and notes on his primary win over a Trump-endorsed candidate.,zach lahn — bonhoeffer profile
ai_overview,AI,2,main,ai,ai/overview.mdx,/docs/ai/overview/,"What the AI is allowed to do, what it may never decide, and the hard rules the build itself enforces.",the ai assistant
ai_our_hard_rules,Our hard rules,3,main,ai,ai/our_hard_rules.mdx,/docs/ai/our_hard_rules/,"Rules the codebase enforces on itself, including one that fails the build.",our hard rules
ai_what_the_ai_does,What the AI does,3,main,ai,ai/what_the_ai_does.mdx,/docs/ai/what_the_ai_does/,"Four jobs: checking reasoning, reading long-form material against rubrics, applying your values, and summarising a month.",what the ai does
ai_what_the_ai_never_decides,What the AI never decides,3,main,ai,ai/what_the_ai_never_decides.mdx,/docs/ai/what_the_ai_never_decides/,The boundary: where a model's output stops and a human decision starts.,what the ai never decides
american_ethics_overview,Great American Ethics,2,main,american_ethics,american_ethics/overview.mdx,/docs/american_ethics/overview/,"When a hijacked Congress acts, the damage is not only to the law — it is to the ethics of the citizens living under it.",great american ethics; american ethical standard
american_ethics_how_a_hijacked_congress_damages_it,How a hijacked Congress damages it,3,main,american_ethics,american_ethics/how_a_hijacked_congress_damages_it.mdx,/docs/american_ethics/how_a_hijacked_congress_damages_it/,"Three documented practices, each individually survivable, that together teach a country a rule about who the rules are for.",how a hijacked congress damages it
american_ethics_restoring_it,Restoring it,3,main,american_ethics,american_ethics/restoring_it.mdx,/docs/american_ethics/restoring_it/,Changing who occupies the seats is necessary and not sufficient — restoring the standard is what all the machinery on this site is for.,
american_ethics_the_standard,The standard,3,main,american_ethics,american_ethics/the_standard.mdx,/docs/american_ethics/the_standard/,"The American ethical standard is not a mood — it is written down in three places, and where those three disagree is itself the finding.",
challengers_overview,Challenger Profiles — Overview,2,main,challengers,challengers/overview.mdx,/docs/challengers/overview/,"Individual deep-dive profiles on political challengers and Bonhoeffer candidates — journalists, commentators, and public figures with the reach and will to name what is wrong.",
challengers_ana_kasparian,Ana Kasparian — Challenger Profile,3,main,challengers,challengers/Ana_Kasparian.mdx,/docs/challengers/ana-kasparian/,"Ana Kasparian — journalist, TYT co-host, and outspoken critic of Israel's influence on US politics. Bonhoeffer Criteria scores and background.",ana kasparian — challenger profile
communities_overview,Communities,2,main,communities,communities/overview.mdx,/docs/communities/overview/,"Where the work happens together: communities, the areas inside them, and the citizens doing the work.",
communities_areas,Areas,3,main,communities,communities/areas.mdx,/docs/communities/areas/,"The middle layer, why aggregation happens here, and the cursor that keeps switching cheap.",
