level_2_key,title,left_bar_title,primary,nav_order,dir_path,one_liner,scope_in,scope_out,newcomer_question_it_answers,source_file,source_section,primary_sources,level_3_pages,status,table_of_contents_number
start_here,Start Here,Start Here,false,1,site/docs/start_here/,"The plain-language front door: what We The Citizens is in sixty seconds, and then in five minutes. No vocabulary a newcomer has not met yet, no award arithmetic, no acronyms — just what this is, what it fixes, who it is for, and the one thing to do next.",What the movement is; what problem it exists to fix; who it is for; the one-sentence and one-paragraph versions; a map of the rest of this site; and the single call to action to app.WeTheCitizens.io.,"Any mechanism detail — how awards are computed, how evidence chains work, how trust is scored. Those get linked from here, never explained here.","What is this, and why should I care?",marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/CLAUDE.md (Charter); ~/BGit/act3/we_citizens/pm/logged_out.mdx,overview.mdx; what_it_is.mdx; who_it_is_for.mdx; five_minute_tour.mdx,created,
the_problem,The Problem,The Problem,false,2,site/docs/the_problem/,"What is actually broken, stated without jargon and without asking the reader to already agree. Representative democracy is not delivering what it promised, officials are too often captured by money and by interests that are not the voters, and a citizen who notices has had no instrument for establishing it — only argument, which changes nothing.","Representative democracy not working as promised; the capture of institutions by money and by interests that are not the citizen base; the deliberate-deadlock pattern — classify a slice of the record, block its recovery, then demand 100% proof before anyone may speak; and why arguing on social media changes nothing.","Our answer to it — that is how_it_works. Naming specific living people — that lives in the politician areas, under the sourcing rules.",Why does anything need fixing?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/CLAUDE.md (Pillar 4); ~/BGit/act3/data_we_citizens/problems/,overview.mdx; democracy_as_promised.mdx; the_deadlock_pattern.mdx; why_arguing_online_fails.mdx,created,
congress_for_citizens,Congress Working For Citizens,Congress For Citizens,true,3,site/docs/congress_for_citizens/,"The question every other area on this site serves. Is Congress and the federal government actually working for US citizens, or has control over them been hijacked — by money in politics, by a globalist deep state, by an intelligence service, or by any other power that is not the citizen base? This area is the whole arc: how capture is detected, how it is proven from the official record rather than asserted, how it is exposed once proven, and how the control is finally removed.","The ways control gets hijacked — money in politics, a globalist deep state, an intelligence service, or any other power that is not the citizen base; what capture looks like in the public record; how it is detected and proven rather than argued; how it is exposed once proven; and how the control is actually removed, which on this site always means an election.","The evidence files behind any one capture — those are problems. The named people who let it happen — those are the politician areas, and every claim there is sourced to the official record.",Who is Congress actually working for?,marketing/messaging/non_partisan_io_messaging.md,1.0 Making sure Congress and Government is working for US Citizens,"~/BGit/act3/data_we_citizens/plan/default_plan.md (#captured_government, #determine_capture, #remove_capture, #whistleblower_protection); ~/BGit/act3/data_we_citizens/problems/congress_controlled_by_a_puppet_master.yaml; ~/BGit/act3/data_we_citizens/problems/president_controlled_by_a_puppet_master.yaml",overview.mdx; money_in_politics.mdx; the_globalist_deep_state.mdx; intelligence_service_capture.mdx; expose_the_hijack.mdx; remove_the_hijack.mdx,created,1.0
non_partisan_site,Why A Non-Partisan Site,Non-Partisan Site,true,4,site/docs/non_partisan_site/,"Why WeTheCitizens.io deliberately takes no side. Some capture is egregious enough that it runs against the base of both parties at once, and the formal party apparatus in Washington has not fixed it in either. This door is the shared ground where citizens from every party can look at the same record, reach a decision together, and then go carry it back into their own party's door.","Why a non-partisan door exists alongside the four party doors; what only becomes visible once you stop arguing party — capture that damages Republicans, Democrats, Libertarians and Democratic Socialists alike; the cross-party citizen forum for deciding when the DC party apparatus has failed to fix the problem; and where a visitor goes next once they want their own party's version.","Every partisan issue and every partisan instrument — party plans, party laws and fix bills, the board of directors, the yearly strategic conference, the political-spectrum vote that matches you to candidates, trust-score voting, and any religious framing. All of those live only on the four .com doors, and the .io names none of them as its own.",Why is this site not taking a side?,marketing/messaging/non_partisan_io_messaging.md,2.0 Non-Partisian Site,marketing/messaging/non_partisan_io_messaging.md (TOP GOALS); marketing/messaging/all_messaging.md; ~/BGit/act3/data_we_citizens/editions/,overview.mdx; what_crosses_both_parties.mdx; the_cross_party_forum.mdx; what_lives_on_the_party_doors.mdx,created,2.0
the_movement,The Movement,The Movement,false,5,site/docs/the_movement/,"Who We The Citizens is and what joining actually means — the charter, the four pillars, and an honest answer about what it costs. The same name covers the company, the movement and the software, and it is a tool rather than a service: the whole thing runs without an account, without your real name, and without anyone's permission.","The charter and the vision; the four pillars in plain language; the two personas the product serves, citizen and admin; what membership costs and does not cost; the paid-supporter option; and how decisions inside the movement itself get made.","Product mechanics, which are how_it_works; and the paired social network, which is covered under repos.","Who is behind this, and what am I joining?",marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/CLAUDE.md; ~/BGit/act3/we_citizens/pm/paid_supporter.mdx; ~/BGit/act3/we_citizens/pm/citizens.mdx,overview.mdx; charter.mdx; four_pillars.mdx; who_can_join.mdx,created,
how_it_works,How It Works,How It Works,false,6,site/docs/how_it_works/,"The core loop, end to end. Record your positions and run the calculation; compare the result against the social contract; record where they do not line up; have the AI re-check the logic from first principles rather than from authority; cast your fix; and publish it if you want to. The same loop runs for one citizen alone and for a community of thousands.",The six-step loop; individual mode versus community mode at a glance; what the app does for you and what it deliberately never does for you; and a worked walkthrough of one real issue from first question to cast fix.,"Install steps, which are get_started; and the internals of any single pillar, each of which has its own area.",What do I actually DO with it?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/CLAUDE.md (How Citizens Use It); ~/BGit/act3/we_citizens/pm/middle_flow.mdx; ~/BGit/act3/we_citizens/pm/webapp.mdx,overview.mdx; the_core_loop.mdx; individual_vs_community_mode.mdx; a_worked_example.mdx,created,
get_started,Get Started,Get Started,false,7,site/docs/get_started/,"Two ways to run We The Citizens, and they are the same software: hosted at app.WeTheCitizens.io, or local-first on your own computer at localhost:4444. On your own machine there is no account, no server, and nothing leaves the box unless you decide to send it.","Hosted versus localhost:4444; choosing your mode on first run; the movement data repo and why the app asks for it; signing in, which is optional on localhost; and the wtcx CLI and the MCP server for people who want to drive it from a terminal.",Contributor build instructions and the repo layout — those live in repos.,How do I get it running?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/pm/mode_selection.mdx; ~/BGit/act3/we_citizens/pm/data_repo_gate.mdx; ~/BGit/act3/we_citizens/pm/cli.mdx; ~/BGit/act3/we_citizens/pm/mcp.mdx,overview.mdx; use_it_hosted.mdx; run_it_on_your_computer.mdx; first_run.mdx,created,
social_contract,The Social Contract,Social Contract,false,8,site/docs/social_contract/,"The fixed yardstick everything else on this site is measured against — for a US citizen, the Constitution and representative democracy actually working the way it was promised. It is what separates misalignment, where an official acted against the contract, from ordinary political disagreement, which this movement does not treat as a finding.",Why a movement needs a fixed yardstick instead of an opinion; the US social contract and how it is written down here; how another country plugs in its own; and what counts as misalignment versus what is simply disagreement.,Individual policy fights — those are decisions and problems.,Measured against WHAT? Who says you are right?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/we_citizens/CLAUDE.md (Charter); ~/BGit/act3/we_citizens/pm/facts.mdx; ~/BGit/act3/we_citizens/pm/metaphysics.mdx,overview.mdx; why_a_yardstick.mdx; the_us_social_contract.mdx; misalignment_vs_disagreement.mdx,created,
american_ethics,Great American Ethics,American Ethics,true,9,site/docs/american_ethics/,"When a hijacked Congress acts, the damage is not only to the law. Exempting itself from the rules it writes for everyone else, paying settlements and hiding them — each act teaches a whole country that the rules are for other people. Restoring that standard, not just changing who occupies the seats, is the point of the entire movement.","What the American ethical standard is and where it is written down; how a captured Congress degrades it act by act — exempting itself from its own laws, paying settlements and hiding them; the cost of teaching a country that the rules are for other people; and restoring the standard as the reason the rest of this site exists.",Any single religion's values — the .io door does not carry those; they belong to the party door whose own messaging file asks for them.,Why does this cost the country more than money?,marketing/messaging/non_partisan_io_messaging.md,20.0 Great American Ethics,marketing/messaging/non_partisan_io_messaging.md (20.0); ~/BGit/act3/data_we_citizens/problems/congress_exempt_from_its_own_laws.yaml; ~/BGit/act3/data_we_citizens/problems/congressional_settlements_paid_and_hidden.yaml; ~/BGit/act3/data_we_citizens/problems/no_penalty_for_agency_stonewalling.yaml,overview.mdx; the_standard.mdx; how_a_hijacked_congress_damages_it.mdx; restoring_it.mdx,created,20.0
problems,Problems,Problems,false,10,site/docs/problems/,"The movement's ranked catalog of what is wrong — each record sourced, and each one carrying a statement of what the world looks like once it is fixed. A problem with no statable fixed state is a complaint and does not belong here. Any citizen can propose one, and the catalog is meant to grow that way.","What a problem record is and the desired_outcome every one of them carries; root causes; how problems are ranked; the current catalog (the Epstein files withheld, the JFK records withheld, Congress exempt from its own laws, settlements paid and hidden, the economy rigged); and how any citizen proposes a new one.",The legislative language that would fix a problem — that is fix_laws and good_bills.,What specific problems are you working on?,marketing/messaging/non_partisan_io_messaging.md,,~/BGit/act3/data_we_citizens/problems/; ~/BGit/act3/we_citizens/pm/problems.mdx; ~/BGit/act3/we_citizens/pm/proposals.mdx,overview.mdx; what_is_a_problem_record.mdx; how_problems_are_ranked.mdx; the_current_catalog.mdx,created,
