level_2_key,title,left_bar_title,nav_order,dir_path,one_liner,scope_in,scope_out,newcomer_question_it_answers,source_file,source_section,primary_sources,level_3_pages,status
about_us,Who This Door Is For,About Us,1,site/docs/s/about_us/,"Who this door is for: democratic socialists, building their own package in their own language.","The audience — always addressed as democratic socialists, never as socialists; that this is not a general-audience site; why a neutral visitor goes to the .io instead.","The mechanics of any plank below; anything addressed to the R, D or L audiences.",Is this site for me?,marketing/messaging/socialism.md,1.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; democratic_socialists_not_the_establishment.mdx; why_here_not_the_io.mdx,created
replace_incumbents,Replacing Incumbents Controlled by Special Interests and Money in Politics,Replace Incumbents,2,site/docs/s/replace_incumbents/,The core action: elect challengers to replace incumbents who answer to special interests and concentrated money instead of to the people who elected them.,The voting record as the trigger; challengers who cannot be corrupted preferred over incumbents serving foreign interests; Citizens United as the specific fight this system is built to end.,"Naming individual people we cannot substantiate — we name the category, not the person.","Who exactly are you trying to replace, and how?",marketing/messaging/socialism.md,2.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; when_votes_track_donors.mdx; challengers_who_cannot_be_bought.mdx; fixing_citizens_united.mdx,created
meritocracy,Meritocracy on This Community's Own Basis,Meritocracy,3,site/docs/s/meritocracy/,"The engine underneath everything, run on the basis this community chooses for itself: the candidates most dedicated to citizens and strongest at refusing to be co-opted.","Dedication measured after election rather than promised before it; the strength to refuse capture once in office; matching candidates to where a voter sits on the spectrum; open data, open source and open AI as the transparency that makes the claim checkable.","The trust-score arithmetic itself, which is its own area.",How do you decide who is 'best' without just picking favorites?,marketing/messaging/socialism.md,3.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; dedicated_to_citizens.mdx; strong_enough_to_refuse.mdx; matching_the_spectrum.mdx; open_source_open_data_open_ai.mdx,created
rigged_economy,Removing the Rigged Economy,Rigged Economy,4,site/docs/s/rigged_economy/,"The Democratic Socialist community's own package for removing the rigged layer and getting back to an ethical, clean economy.",A goal shared by all four doors but written here by democratic socialists in their own language; the package built by community voting; an economy ideal for workers as the headline rather than a footnote.,The other three doors' versions of the same package.,What is your economic plan?,marketing/messaging/socialism.md,4.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; the_democratic_socialist_package.mdx; ideal_for_workers.mdx,created
community_voting,Community-Based Voting and Collaboration,Community Voting,5,site/docs/s/community_voting/,"The mechanism the whole platform runs on: positions, plans and candidate judgments come from citizens voting and working together.",The community builds the package rather than receiving it; voting on where you sit on the political spectrum; how that keeps a loud minority from being mistaken for the whole.,"The platform-wide reasoning engine, which lives in the main app.",Who decides what this community stands for?,marketing/messaging/socialism.md,5.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; the_community_builds_it.mdx; vote_your_spectrum.mdx,created
yearly_conference,The Yearly Strategic Conference,Yearly Conference,6,site/docs/s/yearly_conference/,"A yearly strategic conference for this community, where its direction gets set together.",A .com-level event that each party door runs its own version of.,Describing it as a movement-wide non-partisan event.,Do you hold events?,marketing/messaging/socialism.md,6.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; a_com_level_event.mdx,created
economics_for_workers,Economics That Work for Workers,Economics for Workers,7,site/docs/s/economics_for_workers/,"Economics is the center of this door, and every plank gets the same test: does it work for the worker.","Wages, hours, healthcare, housing, childcare and debt — the ordinary economics of a working life; measuring candidates on whether their record actually moved those numbers.",Abstractions with no worker-facing test.,What does this do for my paycheck?,marketing/messaging/socialism.md,7.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx,created
ai_era_economy,An Economy Ideal for Workers in the Era of AI,The AI Economy,8,site/docs/s/ai_era_economy/,"AI is changing what work is, and this community wants an answer before the disruption lands rather than after.",Who captures the gains from automation — the citizen base or the same concentrated money that rigged the last economy; productivity gains reaching the people doing the work.,Promising an outcome we cannot deliver.,What happens to my job when AI arrives?,marketing/messaging/socialism.md,8.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx,created
new_colonialism,New Colonialism: Foreign Interests Controlling US Politicians,New Colonialism,9,site/docs/s/new_colonialism/,A new layer of colonialism gets added every year when foreign money buys influence over US politicians and US citizens pay for it.,"The mechanism — funding, lobbying, placed media, captured staff — documented with sources; challengers who will legislate the layers away; foreign leverage on an officeholder as disqualifying.",Claims about a named person we cannot source.,Who is my representative actually working for?,marketing/messaging/socialism.md,9.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; challengers_who_will_remove_the_layers.mdx,created
abortion_rights,"Abortion Rights, and Why the Swamp Never Codifies Them",Abortion Rights,10,site/docs/s/abortion_rights/,The votes arrive and the promised codification never happens — because incumbents need the issue unresolved more than they need it fixed.,Codification rather than re-litigation every cycle; the same swamp that keeps the economy rigged; money in politics as the mechanism underneath both.,Measuring a candidate on whether they campaign on it rather than whether they will pass it.,Why has this never actually been fixed?,marketing/messaging/socialism.md,10.0,~/BGit/all/politics/citizens_we/marketing/messaging/socialism.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; abortion_rights.mdx; fixing_the_rigged_economy.mdx; fixing_money_in_politics.mdx,created
