level_2_key,title,left_bar_title,nav_order,dir_path,one_liner,scope_in,scope_out,newcomer_question_it_answers,source_file,source_section,primary_sources,level_3_pages,status
about_us,About Us for Libertarian Voters,About Us,1,site/docs/l/about_us/,"Who this door is for: libertarians and the broader liberty movement, building their own package in their own language.",The audience; that this is not a general-audience site; the promise that your side builds its own package here; why a neutral visitor goes to the .io instead.,"The mechanics of any plank below; anything addressed to the R, D or S audiences.",Is this site for me?,marketing/messaging/libertarians.md,1.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; libertarian_voters_not_the_swamp.mdx; why_here_not_the_io.mdx,created
verifiable_meritocracy,Verifiable Meritocracy Instead of Narrative Control,Verifiable Merit,2,site/docs/l/verifiable_meritocracy/,"The slot this door fills: a place a libertarian can verify that leaders are surfaced on merit and on the will of the people, not by narrative control.","What we take over and what we do differently; the alternative we are displacing — foreign services, intelligence services and concentrated money deciding in advance who gets elected; who does not fund us and who does not control us.","The TPUSA replacement claim, which lives only on the Republican door.",How would I check that this is really a meritocracy?,marketing/messaging/libertarians.md,2.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; what_we_do_differently.mdx; who_does_not_control_us.mdx,created
replace_incumbents,Replacing Incumbents Controlled by Globalist Elites,Replace Incumbents,3,site/docs/l/replace_incumbents/,The core action: get political challengers elected to replace incumbents controlled by globalist elites and the Deep State.,"Elections as the mechanism; challengers first and incumbent protection never; the non-citizen powerful forces we name as the threat, domestic and foreign.","Naming individual people we cannot substantiate — we name the category, not the person.","Who exactly are you trying to replace, and how?",marketing/messaging/libertarians.md,3.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; challengers_first.mdx; non_citizen_powerful_forces.mdx,created
meritocracy,Meritocracy: Finding the Best Candidates,Meritocracy,4,site/docs/l/meritocracy/,The engine underneath everything: surface the candidates most dedicated to citizens and strongest at refusing to be co-opted.,Dedication measured after election rather than promised before it; the strength to refuse capture once in office; matching candidates to where a voter sits on the political spectrum.,"The trust-score arithmetic itself, which is its own area.",How do you decide who is 'best' without just picking favorites?,marketing/messaging/libertarians.md,4.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; dedicated_to_citizens.mdx; strong_enough_to_refuse.mdx; matching_the_spectrum.mdx,created
liberty_ethics,"Great Ethics, Like the Non-Aggression Principle",Liberty Ethics,5,site/docs/l/liberty_ethics/,"This door talks about liberty ethics — the non-aggression principle, consent and self-ownership — deliberately, and exclusively here.",Why the language belongs on this door; why no religion goes on this door or on the .io; the rule that two audiences never share a page.,"Christian values, which belong only to the Republican door.",Where do your ethics come from?,marketing/messaging/libertarians.md,5.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; only_on_this_door.mdx,created
rigged_economy,Removing the Rigged Economy,Rigged Economy,6,site/docs/l/rigged_economy/,"The libertarian community's own package for removing the rigged layer and getting back to an ethical, clean economy.","A goal shared by all four doors but written here by libertarians in their own language; the package built by community voting; the destination — an economy that is ethical, clean and ideal for workers.",The other three doors' versions of the same package.,What is your economic plan?,marketing/messaging/libertarians.md,6.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; the_libertarian_package.mdx; ideal_for_workers.mdx,created
community_voting,Community-Based Voting and Collaboration,Community Voting,7,site/docs/l/community_voting/,"The mechanism the whole platform runs on: positions, plans and candidate judgments come from citizens voting and working together.",The community builds the package rather than receiving it; voting on where you sit on the political spectrum; how that keeps a loud minority from being mistaken for the whole.,"The platform-wide reasoning engine, which lives in the main app.",Who decides what this community stands for?,marketing/messaging/libertarians.md,7.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; the_community_builds_it.mdx; vote_your_spectrum.mdx,created
fix_bills,Fix Bills and Laws,Fix Bills,8,site/docs/l/fix_bills/,"Partisan law work happens on the .com doors, and this is where libertarian voters add and prioritize the laws they care about.",Adding the laws this community cares about; the specific standing bills it cares about most; measuring a candidate against a concrete bill rather than a general statement.,Law work on the .io — the non-partisan site does not host it.,Do you have actual legislation?,marketing/messaging/libertarians.md,8.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; add_the_laws_you_care_about.mdx; bills_that_matter_most.mdx,created
expose_deep_state,"Fully Exposing the Deep State, Globalist Elites and the Epstein Class",Expose Deep State,9,site/docs/l/expose_deep_state/,"Citizens cannot fix what they are not allowed to see, so exposure comes before reform.","The unelected layer as a first-class target; a sourced, citizen-readable record; gaps marked as gaps rather than filled in with a guess.","Accusations we cannot substantiate, and naming a person where we can only prove a category.",What is actually being hidden from me?,marketing/messaging/libertarians.md,9.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; documented_with_sources.mdx,created
us_intelligence,US Intelligence Answers to US Citizens,US Intelligence,10,site/docs/l/us_intelligence/,"US intelligence services answer to US citizens, or they are not ours.",Preventing an agency from deciding an election outcome; ending leverage over officeholders as a mechanism of capture; oversight a citizen can verify.,"Foreign services, which are the next area.",Can an agency decide my election?,marketing/messaging/libertarians.md,10.0,~/BGit/all/politics/citizens_we/marketing/messaging/libertarians.md; ~/BGit/act3/we_citizens/pm/party_front_doors.mdx,overview.mdx; no_agency_decides_an_election.mdx; no_puppet_master_over_politics.mdx,created
